size,instance,algorithm,time_taken,steps,computational_cost,best_energy,time_to_best,min_energy,median_energy,success_probability,standard_deviation,residual_energy
10,42,QAP Objective,2.850400005627307e-05,1.0,5.0,2057.0,0.0,2057.0,2057.0,0.0,0.0,407.0
10,42,Simulated Annealing,0.2673528160003116,4500.0,22500.0,1709.0,0.008020584480009347,1709.0,1724.0,0.0,33.58928400546817,59.0
10,42,Genetic Algorithm,0.38978423500020654,120.0,24200.0,1650.0,0.06106619681669903,1650.0,1705.0,0.2,41.093065108361046,0.0
10,42,Tabu Search,0.1230751150001197,180.0,40500.0,1650.0,0.02352102197780065,1650.0,1650.0,0.6,8.818163074019441,0.0
10,43,QAP Objective,2.780800014079432e-05,1.0,5.0,1826.0,0.0,1826.0,1826.0,0.0,0.0,360.0
10,43,Simulated Annealing,0.2633547800000997,4500.0,22500.0,1507.0,0.015379919152005823,1507.0,1521.0,0.0,28.463309716194285,41.0
10,43,Genetic Algorithm,0.3843712369998684,120.0,24200.0,1510.0,0.09417095306496776,1510.0,1553.0,0.0,30.489342400255207,44.0
10,43,Tabu Search,0.1106034389999877,180.0,40500.0,1466.0,0.015238696039998306,1466.0,1471.0,0.4,18.755265927200284,0.0
10,44,QAP Objective,2.7625000257103238e-05,1.0,5.0,1733.0,0.0,1733.0,1733.0,0.0,0.0,418.0
10,44,Simulated Annealing,0.2669491039996501,4500.0,22500.0,1351.0,0.01593389540762356,1351.0,1356.0,0.0,18.906083676954356,36.0
10,44,Genetic Algorithm,0.38531132400021306,120.0,24200.0,1334.0,0.03981550348002202,1334.0,1376.0,0.0,35.47957158704146,19.0
10,44,Tabu Search,0.12896735599997555,180.0,40500.0,1315.0,0.02006158871110731,1315.0,1315.0,1.0,0.0,0.0
10,45,QAP Objective,2.8285000098549062e-05,1.0,5.0,1787.0,0.0,1787.0,1787.0,0.0,0.0,279.0
10,45,Simulated Annealing,0.2639760849997401,4500.0,22500.0,1525.0,0.01726990209420522,1525.0,1539.0,0.0,22.108821768696767,17.0
10,45,Genetic Algorithm,0.3864161639999111,120.0,24200.0,1533.0,0.09789209487997746,1533.0,1554.0,0.0,10.818502669038818,25.0
10,45,Tabu Search,0.1306581910002933,180.0,40500.0,1508.0,0.02859962625228642,1508.0,1508.0,0.8,10.8,0.0
10,46,QAP Objective,3.1443999887414975e-05,1.0,5.0,1735.0,0.0,1735.0,1735.0,0.0,0.0,415.0
10,46,Simulated Annealing,0.267191849000028,4500.0,22500.0,1369.0,0.008288884915645313,1369.0,1413.0,0.0,32.76583586603583,49.0
10,46,Genetic Algorithm,0.3987511649997941,120.0,24200.0,1365.0,0.06446477167496671,1365.0,1377.0,0.0,15.727682601069999,45.0
10,46,Tabu Search,0.10768371899985141,180.0,40500.0,1320.0,0.012443451973316163,1320.0,1358.0,0.2,17.25108692227826,0.0
10,47,QAP Objective,2.8065000151400454e-05,1.0,5.0,1727.0,0.0,1727.0,1727.0,0.0,0.0,303.0
10,47,Simulated Annealing,0.26330714899995655,4500.0,22500.0,1424.0,0.005500193779110203,1424.0,1492.0,0.2,41.617304093369626,0.0
